rate_date,base_currency,quote_currency,rate
2024-01-01,USD,EUR,0.910855
2024-01-01,USD,GBP,0.791902
2024-01-01,USD,EGP,48.68923
2024-01-02,USD,EUR,0.924069
2024-01-02,USD,GBP,0.791751
2024-01-02,USD,EGP,48.914808
2024-01-03,USD,EUR,0.92245
2024-01-03,USD,GBP,0.794615
2024-01-03,USD,EGP,48.809827
2024-01-04,USD,EUR,0.926351
2024-01-04,USD,GBP,0.795117
2024-01-04,USD,EGP,48.879213
2024-01-05,USD,EUR,0.918101
2024-01-05,USD,GBP,0.788726
2024-01-05,USD,EGP,48.46641
2024-01-06,USD,EUR,0.921779
2024-01-06,USD,GBP,0.787981
2024-01-06,USD,EGP,48.104893
2024-01-07,USD,EUR,0.911529
2024-01-07,USD,GBP,0.793393
2024-01-07,USD,EGP,48.355564
2024-01-08,USD,EUR,0.924215
2024-01-08,USD,GBP,0.784675
2024-01-08,USD,EGP,48.482964
2024-01-09,USD,EUR,0.91812
2024-01-09,USD,GBP,0.78319
2024-01-09,USD,EGP,48.96492
2024-01-10,USD,EUR,0.924162
2024-01-10,USD,GBP,0.791502
2024-01-10,USD,EGP,48.153216
2024-01-11,USD,EUR,0.911275
2024-01-11,USD,GBP,0.789267
2024-01-11,USD,EGP,48.902876
2024-01-12,USD,EUR,0.921662
2024-01-12,USD,GBP,0.793207
2024-01-12,USD,EGP,48.377412
2024-01-13,USD,EUR,0.911241
2024-01-13,USD,GBP,0.782966
2024-01-13,USD,EGP,48.264108
2024-01-14,USD,EUR,0.915845
2024-01-14,USD,GBP,0.787541
2024-01-14,USD,EGP,48.840903
2024-01-15,USD,EUR,0.926134
2024-01-15,USD,GBP,0.788139
2024-01-15,USD,EGP,48.246092
2024-01-16,USD,EUR,0.92819
2024-01-16,USD,GBP,0.788015
2024-01-16,USD,EGP,48.450361
2024-01-17,USD,EUR,0.913677
2024-01-17,USD,GBP,0.787993
2024-01-17,USD,EGP,48.165114
2024-01-18,USD,EUR,0.927071
2024-01-18,USD,GBP,0.795852
2024-01-18,USD,EGP,48.03609
2024-01-19,USD,EUR,0.91289
2024-01-19,USD,GBP,0.787145
2024-01-19,USD,EGP,48.566196
2024-01-20,USD,EUR,0.925932
2024-01-20,USD,GBP,0.79097
2024-01-20,USD,EGP,48.562518
2024-01-21,USD,EUR,0.911203
2024-01-21,USD,GBP,0.785163
2024-01-21,USD,EGP,48.043361
2024-01-22,USD,EUR,0.924495
2024-01-22,USD,GBP,0.792245
2024-01-22,USD,EGP,48.702597
2024-01-23,USD,EUR,0.923724
2024-01-23,USD,GBP,0.782556
2024-01-23,USD,EGP,48.92938
2024-01-24,USD,EUR,0.919198
2024-01-24,USD,GBP,0.782176
2024-01-24,USD,EGP,48.823443
2024-01-25,USD,EUR,0.913609
2024-01-25,USD,GBP,0.793663
2024-01-25,USD,EGP,48.518831
2024-01-26,USD,EUR,0.921984
2024-01-26,USD,GBP,0.795228
2024-01-26,USD,EGP,48.151557
2024-01-27,USD,EUR,0.922724
2024-01-27,USD,GBP,0.79618
2024-01-27,USD,EGP,48.482179
2024-01-28,USD,EUR,0.917528
2024-01-28,USD,GBP,0.789866
2024-01-28,USD,EGP,48.607995
2024-01-29,USD,EUR,0.915786
2024-01-29,USD,GBP,0.788039
2024-01-29,USD,EGP,48.854396
2024-01-30,USD,EUR,0.916783
2024-01-30,USD,GBP,0.795226
2024-01-30,USD,EGP,48.283968
2024-01-31,USD,EUR,0.928604
2024-01-31,USD,GBP,0.786738
2024-01-31,USD,EGP,48.289431
2024-02-01,USD,EUR,0.918502
2024-02-01,USD,GBP,0.797537
2024-02-01,USD,EGP,48.601194
2024-02-02,USD,EUR,0.928695
2024-02-02,USD,GBP,0.793605
2024-02-02,USD,EGP,48.875884
2024-02-03,USD,EUR,0.91892
2024-02-03,USD,GBP,0.789625
2024-02-03,USD,EGP,48.629563
2024-02-04,USD,EUR,0.916058
2024-02-04,USD,GBP,0.794632
2024-02-04,USD,EGP,48.528766
2024-02-05,USD,EUR,0.923252
2024-02-05,USD,GBP,0.789036
2024-02-05,USD,EGP,48.375565
2024-02-06,USD,EUR,0.925917
2024-02-06,USD,GBP,0.787894
2024-02-06,USD,EGP,48.767457
2024-02-07,USD,EUR,0.921505
2024-02-07,USD,GBP,0.786477
2024-02-07,USD,EGP,48.449988
2024-02-08,USD,EUR,0.915254
2024-02-08,USD,GBP,0.788198
2024-02-08,USD,EGP,48.675981
2024-02-09,USD,EUR,0.926393
2024-02-09,USD,GBP,0.791847
2024-02-09,USD,EGP,48.557708
2024-02-10,USD,EUR,0.917483
2024-02-10,USD,GBP,0.788396
2024-02-10,USD,EGP,48.155058
2024-02-11,USD,EUR,0.923073
2024-02-11,USD,GBP,0.78985
2024-02-11,USD,EGP,48.873324
2024-02-12,USD,EUR,0.916803
2024-02-12,USD,GBP,0.783466
2024-02-12,USD,EGP,48.467913
2024-02-13,USD,EUR,0.920557
2024-02-13,USD,GBP,0.7859
2024-02-13,USD,EGP,48.979051
2024-02-14,USD,EUR,0.91205
2024-02-14,USD,GBP,0.786597
2024-02-14,USD,EGP,48.890213
2024-02-15,USD,EUR,0.923039
2024-02-15,USD,GBP,0.789073
2024-02-15,USD,EGP,48.446597
2024-02-16,USD,EUR,0.9183
2024-02-16,USD,GBP,0.78521
2024-02-16,USD,EGP,48.4474
2024-02-17,USD,EUR,0.924068
2024-02-17,USD,GBP,0.797174
2024-02-17,USD,EGP,48.98273
2024-02-18,USD,EUR,0.914356
2024-02-18,USD,GBP,0.790377
2024-02-18,USD,EGP,48.440677
2024-02-19,USD,EUR,0.925079
2024-02-19,USD,GBP,0.797893
2024-02-19,USD,EGP,48.810838
2024-02-20,USD,EUR,0.91995
2024-02-20,USD,GBP,0.795904
2024-02-20,USD,EGP,48.935487
2024-02-21,USD,EUR,0.928623
2024-02-21,USD,GBP,0.795923
2024-02-21,USD,EGP,48.662345
2024-02-22,USD,EUR,0.920102
2024-02-22,USD,GBP,0.790347
2024-02-22,USD,EGP,48.385558
2024-02-23,USD,EUR,0.923084
2024-02-23,USD,GBP,0.794467
2024-02-23,USD,EGP,48.723514
2024-02-24,USD,EUR,0.914015
2024-02-24,USD,GBP,0.782245
2024-02-24,USD,EGP,48.680467
2024-02-25,USD,EUR,0.91136
2024-02-25,USD,GBP,0.795064
2024-02-25,USD,EGP,48.329674
2024-02-26,USD,EUR,0.920644
2024-02-26,USD,GBP,0.786777
2024-02-26,USD,EGP,48.18518
2024-02-27,USD,EUR,0.925942
2024-02-27,USD,GBP,0.788503
2024-02-27,USD,EGP,48.269011
2024-02-28,USD,EUR,0.918288
2024-02-28,USD,GBP,0.783564
2024-02-28,USD,EGP,48.714594
2024-02-29,USD,EUR,0.926579
2024-02-29,USD,GBP,0.794296
2024-02-29,USD,EGP,48.350754
2024-03-01,USD,EUR,0.91238
2024-03-01,USD,GBP,0.783106
2024-03-01,USD,EGP,48.880404
2024-03-02,USD,EUR,0.923251
2024-03-02,USD,GBP,0.785788
2024-03-02,USD,EGP,48.520629
2024-03-03,USD,EUR,0.922367
2024-03-03,USD,GBP,0.790028
2024-03-03,USD,EGP,48.831501
2024-03-04,USD,EUR,0.922273
2024-03-04,USD,GBP,0.7905
2024-03-04,USD,EGP,48.820922
2024-03-05,USD,EUR,0.918715
2024-03-05,USD,GBP,0.790142
2024-03-05,USD,EGP,48.320478
2024-03-06,USD,EUR,0.912788
2024-03-06,USD,GBP,0.792196
2024-03-06,USD,EGP,48.4386
2024-03-07,USD,EUR,0.918341
2024-03-07,USD,GBP,0.782938
2024-03-07,USD,EGP,48.780018
2024-03-08,USD,EUR,0.919892
2024-03-08,USD,GBP,0.794738
2024-03-08,USD,EGP,48.730827
2024-03-09,USD,EUR,0.921227
2024-03-09,USD,GBP,0.791803
2024-03-09,USD,EGP,48.46422
2024-03-10,USD,EUR,0.912769
2024-03-10,USD,GBP,0.796279
2024-03-10,USD,EGP,48.682086
2024-03-11,USD,EUR,0.9176
2024-03-11,USD,GBP,0.7958
2024-03-11,USD,EGP,48.193458
2024-03-12,USD,EUR,0.916472
2024-03-12,USD,GBP,0.79376
2024-03-12,USD,EGP,48.270074
2024-03-13,USD,EUR,0.9179
2024-03-13,USD,GBP,0.796329
2024-03-13,USD,EGP,48.339803
2024-03-14,USD,EUR,0.923464
2024-03-14,USD,GBP,0.796876
2024-03-14,USD,EGP,48.598063
2024-03-15,USD,EUR,0.924016
2024-03-15,USD,GBP,0.790968
2024-03-15,USD,EGP,48.952018
2024-03-16,USD,EUR,0.928613
2024-03-16,USD,GBP,0.785191
2024-03-16,USD,EGP,48.322652
2024-03-17,USD,EUR,0.917781
2024-03-17,USD,GBP,0.785868
2024-03-17,USD,EGP,48.020514
2024-03-18,USD,EUR,0.925819
2024-03-18,USD,GBP,0.784614
2024-03-18,USD,EGP,48.872126
2024-03-19,USD,EUR,0.923985
2024-03-19,USD,GBP,0.783404
2024-03-19,USD,EGP,48.647935
2024-03-20,USD,EUR,0.920009
2024-03-20,USD,GBP,0.783046
2024-03-20,USD,EGP,48.094796
2024-03-21,USD,EUR,0.915916
2024-03-21,USD,GBP,0.790298
2024-03-21,USD,EGP,48.045919
2024-03-22,USD,EUR,0.924872
2024-03-22,USD,GBP,0.79053
