product_id,product_name,category,subcategory,brand,unit_cost,list_price,is_active
1,Together Beverage,Grocery,Beverages,Acme,16.05,25.85,1
2,Adult Outdoor Rec,Sports,Outdoor Rec,Wayne,6.83,11.13,1
3,Heavy Men,Apparel,Men,Hooli,19.55,37.63,1
4,Citizen Educational,Toys,Educational,Wayne,57.02,78.82,1
5,Paper Skincare,Beauty,Skincare,Soylent,13.56,26.55,1
6,Blood Footwear,Apparel,Footwear,Stark,27.9,48.61,1
7,Occur Children,Books,Children,Globex,67.15,128.57,1
8,Time Fitnes,Sports,Fitness,Soylent,70.96,98.29,1
9,Federal Laptop,Electronics,Laptops,Globex,38.14,75.3,1
10,Figure Makeup,Beauty,Makeup,Stark,29.97,51.42,1
11,Apply Kitchen,Home & Garden,Kitchen,Umbrella,69.27,94.12,1
12,Outside Men,Apparel,Men,Soylent,86.05,159.76,1
13,Agency Haircare,Beauty,Haircare,Soylent,69.24,103.54,1
14,Ask Outdoor,Home & Garden,Outdoor,Globex,75.57,115.41,1
15,To Makeup,Beauty,Makeup,Stark,97.23,188.3,1
16,Computer Audio,Electronics,Audio,Stark,40.3,76.39,1
17,Guess Outdoor Rec,Sports,Outdoor Rec,Soylent,18.0,32.83,1
18,Support Fiction,Books,Fiction,Soylent,49.41,87.27,1
19,Fund Haircare,Beauty,Haircare,Acme,48.59,70.17,1
20,Woman Skincare,Beauty,Skincare,Soylent,37.01,62.7,1
21,Name Outdoor,Home & Garden,Outdoor,Soylent,32.74,52.54,1
22,Loss Snack,Grocery,Snacks,Globex,70.13,95.18,1
23,Mrs Educational,Toys,Educational,Wayne,39.91,58.95,1
24,Claim Fitnes,Sports,Fitness,Soylent,46.49,88.58,1
25,Game Audio,Electronics,Audio,Wayne,43.78,83.19,1
26,Trial Audio,Electronics,Audio,Umbrella,85.03,136.49,1
27,Major Beverage,Grocery,Beverages,Stark,7.5,11.34,1
28,Decide Non-Fiction,Books,Non-Fiction,Stark,91.92,183.48,1
29,Break Non-Fiction,Books,Non-Fiction,Wayne,94.63,126.69,0
30,Development Phone,Electronics,Phones,Stark,37.92,74.85,1
31,Age Audio,Electronics,Audio,Wayne,47.45,72.44,1
32,Country Team Sport,Sports,Team Sports,Stark,28.06,54.28,1
33,Close Board Game,Toys,Board Games,Hooli,67.9,110.77,1
34,Treatment Board Game,Toys,Board Games,Wayne,29.33,41.9,1
35,Take Educational,Toys,Educational,Initech,78.69,140.07,1
36,Allow Fiction,Books,Fiction,Initech,54.21,97.29,1
37,Each Board Game,Toys,Board Games,Acme,52.23,88.24,1
38,Local Skincare,Beauty,Skincare,Hooli,74.33,130.19,1
39,Song Laptop,Electronics,Laptops,Acme,42.75,68.25,1
40,Them Outdoor,Home & Garden,Outdoor,Stark,45.21,86.47,1
41,Else Skincare,Beauty,Skincare,Soylent,70.12,93.42,1
42,Word Snack,Grocery,Snacks,Soylent,44.94,65.47,1
43,Professional Children,Books,Children,Soylent,53.97,75.43,1
44,Half Haircare,Beauty,Haircare,Hooli,99.51,170.21,1
45,Fish Pantry,Grocery,Pantry,Soylent,35.37,67.14,1
46,And Board Game,Toys,Board Games,Hooli,20.07,26.6,1
47,Tough Action Figure,Toys,Action Figures,Soylent,62.47,104.39,1
48,Station Decor,Home & Garden,Decor,Acme,8.19,14.49,1
49,History Fitnes,Sports,Fitness,Acme,76.16,138.97,1
50,Push Non-Fiction,Books,Non-Fiction,Hooli,25.47,47.93,1
51,Early Kitchen,Home & Garden,Kitchen,Acme,63.48,86.86,1
52,Deep Pantry,Grocery,Pantry,Globex,58.99,91.24,1
53,Rich Kitchen,Home & Garden,Kitchen,Umbrella,43.79,64.98,1
54,Responsibility Women,Apparel,Women,Globex,56.67,113.08,1
55,Entire Board Game,Toys,Board Games,Initech,36.84,73.09,1
56,Star Fitnes,Sports,Fitness,Acme,57.6,111.41,0
57,Student Beverage,Grocery,Beverages,Stark,68.96,120.85,1
58,A Skincare,Beauty,Skincare,Soylent,57.09,82.52,1
